INFO:root:Starting crawling
DEBUG|2017-09-14 12:52:49,047|File 5f4d0db716b66839ceb3f08a0dd9e52b1fddef811a90531cd0713661e63b68e9
DEBUG|2017-09-14 12:52:49,068|File 9b5a556536177f815821dfa98686efa2c7440250ecbdadaffd2d7bdb6e91a7d0
DEBUG|2017-09-14 12:52:49,090|File cd559785c8bbb88a60e67129d4c3ae8973ca2f9aab11930db254e7958f154945
DEBUG|2017-09-14 12:52:49,090|Entering folder 	binary-amd64
DEBUG|2017-09-14 12:52:49,258|File Packages.bz2
DEBUG|2017-09-14 12:52:49,278|File Packages.gz
DEBUG|2017-09-14 12:52:49,298|File Release
DEBUG|2017-09-14 12:52:49,318|Folder by-hash
DEBUG|2017-09-14 12:52:49,319|Entering folder 	by-hash
DEBUG|2017-09-14 12:52:49,468|Folder MD5Sum
DEBUG|2017-09-14 12:52:49,488|Folder SHA1
DEBUG|2017-09-14 12:52:49,508|Folder SHA256
DEBUG|2017-09-14 12:52:49,508|Entering folder 	MD5Sum
DEBUG|2017-09-14 12:52:49,648|File 454f9ce23d61b6ac74da95120276ceda
DEBUG|2017-09-14 12:52:49,673|File 6defef06824ec534f0ff7d1be172c568
DEBUG|2017-09-14 12:52:49,693|File bef584638d76667025bcbda442fe1e6f
DEBUG|2017-09-14 12:52:49,693|Entering folder 	SHA1
DEBUG|2017-09-14 12:52:49,831|File 1c7f76d34af891d3458fe0c1a6b11dc3e9e9c150
DEBUG|2017-09-14 12:52:49,851|File 6eed030c02afded7cf3eda028790ebdd9e31a755
DEBUG|2017-09-14 12:52:49,878|File c9f81c13ce5a9701270b7ff55ab03e572b796e53
DEBUG|2017-09-14 12:52:49,879|Entering folder 	SHA256
DEBUG|2017-09-14 12:52:50,016|File ccbcbdcc89b193bad8d2cd4656eab4d1d77c6be1f2a50e977d6c87e4f1cd6f27
DEBUG|2017-09-14 12:52:50,046|File d68f1e56c2e9d9ff6b577cf9ab3b26486b5927b6221a146d5f6654b739225fef
DEBUG|2017-09-14 12:52:50,068|File e89f4dab63af57a4ac1da3df36e8b1341b7bf9b40e6f9bd7cc14e48e24fe52c7
DEBUG|2017-09-14 12:52:50,068|Entering folder 	binary-armel
DEBUG|2017-09-14 12:52:50,204|File Packages.bz2
DEBUG|2017-09-14 12:52:50,223|File Packages.gz
DEBUG|2017-09-14 12:52:50,249|File Release
DEBUG|2017-09-14 12:52:50,268|Folder by-hash
DEBUG|2017-09-14 12:52:50,268|Entering folder 	by-hash
DEBUG|2017-09-14 12:52:50,468|Folder MD5Sum
DEBUG|2017-09-14 12:52:50,491|Folder SHA1
DEBUG|2017-09-14 12:52:50,511|Folder SHA256
DEBUG|2017-09-14 12:52:50,511|Entering folder 	MD5Sum
DEBUG|2017-09-14 12:52:50,658|File 46bc96eacca5a664b4dbc5bbdeed74d9
